CN0000;DISTRIBUIDORES;TULUA;VALLE DEL CAUCA;Contado
CN0001;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN0002;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN0005;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0006;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0008;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;Contado
CN0009;MED LAB OP AMBUL;POPAYAN;CAUCA;Contado
CN0010;NO DEDICADO A SALUD;GARZON;HUILA;Contado
CN0012;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN0013;NO DEDICADO A SALUD;MALAGA;SANTANDER;Contado
CN0014;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS (CONTADO 3%)
CN0015;ODONTO CENTRO ODONTO;CALI;VALLE DEL CAUCA;CONTADO 5%
CN0016;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0017;CLINICAS PRIVADAS;PEREIRA;RISARALDA;CREDITO 30 DIAS 3%
CN0020;CLINICAS PRIVADAS;YUMBO/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0021;CLINICAS PRIVADAS;PEREIRA;RISARALDA;Contado
CN0022;NO DEDICADO A SALUD;SABANETA;ANTIOQUIA;Contado
CN0023;DROG FARMACIA Y MISC;DAGUA/V;VALLE DEL CAUCA;CONTADO - CONTRA ENTREGA
CN0024;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 60 DIAS, 30 DIAS 3%, CONTADO 5%
CN0025;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0026;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0027;CLINICAS PRIVADAS;ENVIGADO;ANTIOQUIA;Contado
CN0028;MED LAB OP AMBUL;MEDELLIN;ANTIOQUIA;Contado
CN0031;CLINICAS PRIVADAS;BOGOTA;CUNDINAMARCA;Contado
CN0032;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CONTADO - CONTRA ENTREGA
CN0033;MED LAB OP AMBUL;TULUA;VALLE DEL CAUCA;Contado
CN0034;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0035;ALMACENES DE CADENA;CALI;VALLE DEL CAUCA;Contado
CN0036;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;CREDITO 60 DIAS
CN0037;NO DEDICADO A SALUD;MEDELLIN;ANTIOQUIA;Contado
CN0038;ALMACENES DE CADENA;MANIZALEZ;CALDAS;Contado
CN0039;CLINICAS PRIVADAS;APARTADO;ANTIOQUIA;Contado
CN0040;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0041;MED LAB OP AMBUL;BOGOTA;CUNDINAMARCA;Contado
CN0042;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;Contado
CN0043;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN0044;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Contado
CN0045;NO DEDICADO A SALUD;VILLA RICA;CAUCA;CREDITO 60 DIAS
CN0046;NO DEDICADO A SALUD;MONTERIA;CORDOBA;Contado
CN0047;NO DEDICADO A SALUD;NEIVA;HUILA;Contado
CN0048;CLINICAS PRIVADAS;BOGOTA;CUNDINAMARCA;CREDITO 90 DIAS, 60 DIAS 3%, 30 DIAS 5%
CN0050;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0052;NO DEDICADO A SALUD;PAMPLONA;NORTE DE SANTANDER;Contado
